"pseudo_11","pseudo_2","dist_3","dist_76","dist_18","dist_62","dist_93","pseudo_13","dist_75","pseudo_14","pseudo_4","pseudo_15","pseudo_6","pseudo_20","dist_47","dist_17","pseudo_1","dist_77","pseudo_10","dist_91","pseudo_16","pseudo_9","dist_16","dist_2","pseudo_17","dist_72","pseudo_7","dist_78","dist_1","pseudo_19","comp_16","ss_1","dist_26","ss_3","tran_18","dist_29","pseudo_8","dist_69","aac_8","dist_23","pseudo_3","comp_15","dist_7","dist_20","pseudo_12","dist_10","comp_4","dist_70","comp_5","dist_58","comp_18","dist_4","comp_2","dist_21","dist_56","ss_2","comp_10","dist_96","dist_105","dist_90","dist_44","dist_53","tran_6","dist_85","pseudo_18","dist_63","dist_67","dist_50","dist_102","dist_13","dist_79","dist_61","dist_82","comp_17","dist_59","comp_11","dist_97","dist_64","dist_14","dist_87","dist_99","ss_6","dist_73","tran_16","dist_88","dist_34","dist_24","dist_94","tran_17","dist_6","dist_28","dist_27","dist_68","dist_84","comp_1","tran_2","pseudo_5","tran_3","tran_10","tran_21","comp_3","tran_20","dist_81","dist_15","tran_19","ss_4","dist_89","dist_19","dist_100","comp_6","tran_1","dist_38","dist_103","aac_1","dist_71","dist_8","dist_22","tran_5","comp_13","comp_19","dist_83","dist_66","dist_30","dist_37","dist_49","dist_52","dist_55","dist_5","dist_40","dist_65","dist_9","Output"
0,0.524838814,5.263157895,10.52631579,10.52631579,5.263157895,21.05263158,0,78.94736842,1.574516441,0.524838814,0.524838814,0,0.524838814,5.263157895,15.78947368,0,5.263157895,0,5.263157895,1.049677628,0,5.263157895,21.05263158,1.049677628,78.94736842,0.524838814,21.05263158,10.52631579,0,15.78947368,0,68.42105263,0.380116959,0.388888889,89.47368421,1.049677628,78.94736842,0.105263158,15.78947368,0.524838814,5.263157895,15.78947368,15.78947368,0.524838814,78.94736842,57.89473684,10.52631579,15.78947368,94.73684211,36.84210526,10.52631579,36.84210526,10.52631579,68.42105263,0.175438596,36.84210526,21.05263158,94.73684211,89.47368421,94.73684211,26.31578947,0.111111111,15.78947368,0,78.94736842,10.52631579,5.263157895,47.36842105,100,10.52631579,10.52631579,10.52631579,47.36842105,89.47368421,36.84210526,42.10526316,10.52631579,94.73684211,78.94736842,31.57894737,0,100,0.111111111,100,5.263157895,36.84210526,26.31578947,0.055555556,5.263157895,94.73684211,52.63157895,47.36842105,42.10526316,26.31578947,0.111111111,1.574516441,0.388888889,0.388888889,0.166666667,36.84210526,0.388888889,21.05263158,73.68421053,0.222222222,0,94.73684211,21.05263158,63.15789474,26.31578947,0.277777778,42.10526316,84.21052632,0,68.42105263,42.10526316,42.10526316,0.388888889,10.52631579,47.36842105,52.63157895,78.94736842,100,36.84210526,21.05263158,42.10526316,78.94736842,21.05263158,63.15789474,26.31578947,36.84210526,1
0.572017578,0,5.263157895,10.52631579,36.84210526,5.263157895,21.05263158,0,78.94736842,0,0.572017578,0.572017578,0,0,5.263157895,15.78947368,0.572017578,5.263157895,0,5.263157895,1.716052733,0,5.263157895,10.52631579,1.144035155,78.94736842,0,15.78947368,15.78947368,0.572017578,15.78947368,0,52.63157895,0.421052632,0.444444444,89.47368421,1.144035155,78.94736842,0.105263158,15.78947368,1.144035155,5.263157895,78.94736842,15.78947368,0.572017578,89.47368421,68.42105263,100,15.78947368,94.73684211,47.36842105,15.78947368,52.63157895,36.84210526,52.63157895,0.134502924,47.36842105,21.05263158,94.73684211,89.47368421,94.73684211,26.31578947,0,52.63157895,0.572017578,78.94736842,100,5.263157895,57.89473684,100,10.52631579,100,10.52631579,36.84210526,89.47368421,36.84210526,42.10526316,100,94.73684211,68.42105263,36.84210526,0,100,0.166666667,100,5.263157895,36.84210526,10.52631579,0.111111111,5.263157895,94.73684211,63.15789474,42.10526316,42.10526316,21.05263158,0.055555556,1.716052733,0.444444444,0.611111111,0.166666667,26.31578947,0.5,21.05263158,73.68421053,0.222222222,0,94.73684211,21.05263158,63.15789474,15.78947368,0.333333333,42.10526316,84.21052632,0.052631579,63.15789474,42.10526316,42.10526316,0.277777778,5.263157895,42.10526316,36.84210526,78.94736842,100,36.84210526,21.05263158,42.10526316,68.42105263,21.05263158,52.63157895,21.05263158,26.31578947,1
1.374156583,0,5,25,15,5,10,0,85,0.687078291,0,0.687078291,0.687078291,0.687078291,5,25,0,5,0.687078291,5,0.687078291,0,5,10,2.748313166,85,0,30,85,0,15,0,70,0.402631579,0.105263158,95,2.748313166,85,0.2,55,0,5,85,25,0,85,70,0,25,80,30,85,50,15,85,0.15,45,10,80,80,80,60,0,70,0,85,0,25,65,85,25,0,25,55,100,50,45,0,80,45,30,0,0,0.210526316,85,15,15,25,0.105263158,15,100,15,45,40,5,0.052631579,2.748313166,0.473684211,0.421052632,0.052631579,45,0.473684211,30,100,0.052631579,0,100,20,60,5,0.052631579,40,100,0,70,40,45,0.105263158,0,65,55,85,15,55,20,40,50,20,70,20,55,1
0,0,28.57142857,14.28571429,23.80952381,4.761904762,23.80952381,0,38.0952381,1.128233296,0,1.128233296,0.564116648,1.128233296,28.57142857,28.57142857,0.564116648,28.57142857,1.128233296,4.761904762,0.564116648,0.564116648,4.761904762,4.761904762,0.564116648,38.0952381,0,4.761904762,38.0952381,1.128233296,14.28571429,0,52.38095238,0.388095238,0.5,80.95238095,3.384699888,38.0952381,0.285714286,38.0952381,0,4.761904762,38.0952381,28.57142857,0,38.0952381,52.38095238,0,23.80952381,100,42.85714286,38.0952381,66.66666667,23.80952381,61.9047619,0.161904762,42.85714286,23.80952381,95.23809524,100,100,38.0952381,0.15,23.80952381,0,38.0952381,0,28.57142857,76.19047619,38.0952381,14.28571429,0,14.28571429,42.85714286,80.95238095,33.33333333,47.61904762,0,100,66.66666667,42.85714286,0,0,0.1,38.0952381,42.85714286,42.85714286,14.28571429,0.2,28.57142857,100,47.61904762,52.38095238,33.33333333,4.761904762,0,0,0.5,0.25,0.1,28.57142857,0.5,9.523809524,90.47619048,0,0,95.23809524,9.523809524,61.9047619,23.80952381,0.1,33.33333333,100,0.047619048,76.19047619,42.85714286,33.33333333,0.15,0,61.9047619,52.38095238,38.0952381,95.23809524,52.38095238,9.523809524,19.04761905,66.66666667,14.28571429,80.95238095,23.80952381,52.38095238,1
0,0,4.545454545,9.090909091,18.18181818,4.545454545,13.63636364,0,0,1.180988525,0,0.590494263,0,0,4.545454545,4.545454545,1.180988525,4.545454545,1.180988525,4.545454545,1.771482788,0,9.090909091,9.090909091,1.180988525,0,0,13.63636364,18.18181818,0.590494263,18.18181818,0,27.27272727,0.424242424,0.285714286,81.81818182,1.180988525,0,0.090909091,4.545454545,0.590494263,0,18.18181818,4.545454545,1.180988525,59.09090909,63.63636364,18.18181818,13.63636364,86.36363636,31.81818182,18.18181818,50,18.18181818,81.81818182,0.123376623,40.90909091,13.63636364,90.90909091,86.36363636,86.36363636,40.90909091,0.095238095,54.54545455,0,0,18.18181818,27.27272727,72.72727273,81.81818182,9.090909091,18.18181818,18.18181818,50,100,36.36363636,45.45454545,18.18181818,90.90909091,72.72727273,40.90909091,0,59.09090909,0.19047619,59.09090909,22.72727273,22.72727273,22.72727273,0.095238095,22.72727273,100,59.09090909,50,45.45454545,13.63636364,0.095238095,2.36197705,0.285714286,0.333333333,0.142857143,36.36363636,0.333333333,13.63636364,100,0.142857143,0,100,31.81818182,68.18181818,22.72727273,0.19047619,45.45454545,100,0.090909091,77.27272727,45.45454545,50,0.285714286,9.090909091,54.54545455,36.36363636,0,90.90909091,31.81818182,13.63636364,45.45454545,63.63636364,13.63636364,77.27272727,27.27272727,31.81818182,1
1.182365235,0,16.66666667,20.83333333,25,4.166666667,29.16666667,0.591182618,45.83333333,1.182365235,0,0,0.591182618,0.591182618,8.333333333,8.333333333,0,16.66666667,0.591182618,4.166666667,0.591182618,0.591182618,4.166666667,4.166666667,1.773547853,45.83333333,0.591182618,4.166666667,8.333333333,0,29.16666667,0.063405797,54.16666667,0.300724638,0.173913043,83.33333333,1.182365235,45.83333333,0.083333333,33.33333333,1.773547853,4.166666667,45.83333333,16.66666667,0.591182618,54.16666667,37.5,25,37.5,91.66666667,25,8.333333333,29.16666667,25,75,0.179347826,25,29.16666667,91.66666667,62.5,91.66666667,50,0.347826087,58.33333333,0.591182618,45.83333333,25,20.83333333,58.33333333,75,20.83333333,25,41.66666667,45.83333333,100,50,50,25,91.66666667,37.5,41.66666667,1,25,0.304347826,83.33333333,20.83333333,58.33333333,16.66666667,0.130434783,20.83333333,100,70.83333333,54.16666667,12.5,25,0.304347826,1.773547853,0.260869565,0.304347826,0.217391304,45.83333333,0.217391304,4.166666667,100,0.304347826,0.083333333,100,12.5,83.33333333,25,0.217391304,29.16666667,100,0,75,29.16666667,37.5,0.173913043,4.166666667,50,66.66666667,45.83333333,87.5,58.33333333,4.166666667,29.16666667,37.5,4.166666667,83.33333333,20.83333333,58.33333333,1
0,0.524984151,20.83333333,16.66666667,16.66666667,4.166666667,12.5,0,0,0,0,0.524984151,0,1.049968303,8.333333333,8.333333333,2.624920757,20.83333333,0.524984151,4.166666667,1.574952454,0.524984151,4.166666667,4.166666667,0.524984151,0,0.524984151,4.166666667,8.333333333,0,37.5,0.018115942,45.83333333,0.369565217,0.173913043,87.5,2.099936606,0,0.166666667,20.83333333,0.524984151,0,16.66666667,8.333333333,0.524984151,45.83333333,62.5,16.66666667,20.83333333,100,37.5,8.333333333,62.5,16.66666667,45.83333333,0.155797101,54.16666667,12.5,91.66666667,95.83333333,100,20.83333333,0.043478261,58.33333333,0.524984151,0,16.66666667,8.333333333,62.5,58.33333333,25,16.66666667,37.5,25,87.5,29.16666667,54.16666667,16.66666667,100,62.5,41.66666667,1,58.33333333,0.347826087,100,20.83333333,29.16666667,25,0.304347826,20.83333333,100,58.33333333,50,41.66666667,16.66666667,0.086956522,0.524984151,0.347826087,0.304347826,0.173913043,20.83333333,0.260869565,8.333333333,87.5,0.173913043,0.041666667,87.5,25,79.16666667,16.66666667,0.260869565,62.5,100,0.208333333,75,54.16666667,54.16666667,0.304347826,8.333333333,58.33333333,50,0,75,33.33333333,37.5,62.5,79.16666667,25,50,25,33.33333333,1
0,0.965023011,11.11111111,7.407407407,7.407407407,3.703703704,33.33333333,0.482511506,51.85185185,0.482511506,0,0.482511506,0.482511506,1.930046022,3.703703704,3.703703704,0,11.11111111,0,11.11111111,0.965023011,0.482511506,22.22222222,22.22222222,0.965023011,51.85185185,0.965023011,3.703703704,3.703703704,0.482511506,25.92592593,0,51.85185185,0.267806268,0.230769231,85.18518519,0.482511506,51.85185185,0.037037037,29.62962963,0.965023011,3.703703704,18.51851852,18.51851852,0,59.25925926,33.33333333,7.407407407,33.33333333,92.59259259,22.22222222,3.703703704,29.62962963,11.11111111,66.66666667,0.270655271,18.51851852,37.03703704,92.59259259,70.37037037,92.59259259,40.74074074,0.307692308,62.96296296,1.447534517,51.85185185,7.407407407,25.92592593,70.37037037,77.77777778,7.407407407,7.407407407,51.85185185,51.85185185,100,48.14814815,40.74074074,7.407407407,92.59259259,44.44444444,48.14814815,0,59.25925926,0.269230769,81.48148148,25.92592593,48.14814815,22.22222222,0.115384615,25.92592593,100,62.96296296,48.14814815,33.33333333,25.92592593,0.269230769,1.447534517,0.307692308,0.269230769,0.192307692,44.44444444,0.269230769,3.703703704,100,0.230769231,0,100,33.33333333,85.18518519,33.33333333,0.153846154,37.03703704,100,0,77.77777778,44.44444444,44.44444444,0.153846154,7.407407407,44.44444444,48.14814815,51.85185185,88.88888889,48.14814815,22.22222222,37.03703704,44.44444444,33.33333333,74.07407407,25.92592593,55.55555556,1
1.13598668,0,19.23076923,7.692307692,7.692307692,3.846153846,30.76923077,0,46.15384615,1.13598668,0,0,0.56799334,0.56799334,11.53846154,11.53846154,1.13598668,19.23076923,0.56799334,3.846153846,1.13598668,1.13598668,3.846153846,3.846153846,1.70398002,46.15384615,0,3.846153846,7.692307692,0,34.61538462,0.215384615,57.69230769,0.255384615,0.16,80.76923077,1.13598668,46.15384615,0.076923077,34.61538462,1.13598668,3.846153846,11.53846154,11.53846154,1.13598668,26.92307692,46.15384615,7.692307692,26.92307692,100,23.07692308,7.692307692,42.30769231,7.692307692,61.53846154,0.069230769,34.61538462,30.76923077,100,100,100,50,0.2,57.69230769,0.56799334,46.15384615,7.692307692,19.23076923,65.38461538,61.53846154,26.92307692,7.692307692,46.15384615,42.30769231,96.15384615,38.46153846,57.69230769,7.692307692,100,38.46153846,42.30769231,0,26.92307692,0.32,84.61538462,23.07692308,26.92307692,19.23076923,0.16,23.07692308,100,53.84615385,53.84615385,15.38461538,19.23076923,0.12,1.70398002,0.44,0.32,0.12,38.46153846,0.32,3.846153846,96.15384615,0.2,0.269230769,96.15384615,30.76923077,76.92307692,26.92307692,0.2,38.46153846,96.15384615,0.076923077,76.92307692,42.30769231,65.38461538,0.28,7.692307692,53.84615385,50,46.15384615,76.92307692,57.69230769,15.38461538,38.46153846,73.07692308,15.38461538,76.92307692,23.07692308,57.69230769,1
0,0,22.22222222,3.703703704,3.703703704,7.407407407,14.81481481,0,48.14814815,1.142206649,0,0,0.571103324,1.713309973,22.22222222,22.22222222,0,22.22222222,1.713309973,7.407407407,2.284413297,1.142206649,7.407407407,7.407407407,1.142206649,48.14814815,0,7.407407407,3.703703704,0.571103324,14.81481481,0,55.55555556,0.270655271,0.269230769,81.48148148,1.713309973,48.14814815,0.111111111,48.14814815,1.142206649,3.703703704,48.14814815,25.92592593,0.571103324,62.96296296,40.74074074,3.703703704,33.33333333,100,33.33333333,3.703703704,44.44444444,3.703703704,74.07407407,0.267806268,33.33333333,29.62962963,100,100,100,51.85185185,0.307692308,44.44444444,0.571103324,48.14814815,3.703703704,25.92592593,59.25925926,74.07407407,3.703703704,3.703703704,29.62962963,51.85185185,96.2962963,40.74074074,51.85185185,3.703703704,100,62.96296296,40.74074074,0,3.703703704,0.115384615,48.14814815,37.03703704,44.44444444,18.51851852,0.076923077,25.92592593,100,70.37037037,51.85185185,18.51851852,14.81481481,0.115384615,1.142206649,0.346153846,0.230769231,0.115384615,40.74074074,0.384615385,11.11111111,96.2962963,0.153846154,0,96.2962963,11.11111111,77.77777778,25.92592593,0.153846154,18.51851852,96.2962963,0,74.07407407,33.33333333,33.33333333,0.192307692,3.703703704,51.85185185,59.25925926,48.14814815,85.18518519,59.25925926,11.11111111,18.51851852,40.74074074,14.81481481,81.48148148,25.92592593,55.55555556,1
